channel_id,channel_name,niche,country,description,subscribers,total_views,total_videos,published_at,avg_views_per_video,engagement_rate_raw,engagement_rate
UCV5FqnmlhZoDDBDkbHndbJg,Ikrar Fitness,Fitness,IN,"Hi This Is Ikrar Malik 
I m here to guide you how to train urself 🤜🏻
With some tips n tricks🤝
Subscribe this Channel",1250000,644964147,776,2021-12-24T12:28:37.746997Z,831139.3646907216,66.49114917525772,4.212
UCpk8SlbASeNIYLgh5bt8i5Q,Sahil Khan,Fitness,AE,Welcome to the Official Channel of Sahil Khan and Your FITNESS IC⭕N. I am the 1st Bollywood Actor to have my own channel on YouTube. Here I am going to connect with all of you  showing you a glimpse o,3110000,320709185,484,2017-04-28T09:36:25Z,662622.2830578513,21.30618273497914,3.1049
UCv__5XBCC3lXbs9BRP3SGwQ,SimpleTips Anwesha,Fitness,IN,"Contact - simpletipsanweshaofficial@gmail.com

Hi, I am Anwesha. I create content on Beauty, Fitness, Health, Fashion and Lifestyle.
I started my Youtube journey in 2015 along with my Ph.D. and full-t",1070000,201859930,2062,2015-11-19T06:39:17Z,97895.21338506305,9.149085363090006,2.3174
UCKPDbO0bRmuMUdEB9je5_wQ,Fitness Fighters,Fitness,IN,"Fitness Fighters is all about teaching you about Fitness, We make & share free videos of home Workouts with proper diet plan. 
No matter how your body is Fat, Skinny, Overweight,  Short stature etc.
M",2050000,131310418,557,2016-09-11T20:27:41Z,235745.8132854578,11.499795770022333,2.5257
UCzi9LZEbsE8RIbgRR3Sy3KQ,Karate and Fitness Tutorial,Fitness,IN,"Welcome to Karate & Fitness Tutorials! 🥋💪 Our channel brings you simple, effective self-defense techniques from karate, tailored for everyday people.

📧 Contact us: karatefitnesstutorial@gmail.com
",1900000,505621093,397,2017-09-16T05:29:14Z,1273604.7682619647,67.03182990852446,4.22
UCgUSttrJbKff0sYd7SpJHQA,The Fitness Channel,Fitness,IN,"Welcome to The Fitness Channel!
Look, I'm not a superhuman cyborg who lives in the gym 24/7. I'm just someone who loves lifting, learning, and figuring out how to get stronger without losing my mind (",89,39821,33,2026-03-16T14:52:19.487446Z,1206.6969696969697,1355.8392917943481,7.2129
UCxjc8mUzILAiXGPf1lBhqdQ,Bodybuilding Workout Routine And Diet Planing,Fitness,IN,"Bodybuilding Workout Routine And Diet Planning 

For Any Buisness Enquiry:-
maazikram224@gmail.com",5510000,407451351,435,2015-05-16T02:52:47Z,936669.7724137931,16.999451404969022,2.8903
UCg5LjzSV0GqSjXJXERkW1FA,Jeet Selal Aesthetics,Fitness,IN,"Jeet Selal is one the most influential fitness professionals among Indian communities across the globe, He is graduated in Sports science with a double degree in Sports management from United Kingdom.",4860000,406485456,816,2016-01-25T06:58:06Z,498143.9411764706,10.24987533284919,2.4204
UCHUtSdrmS1RqLA_oBMmrfBQ,Home Workout ,Fitness,AE,"Hey! Friends. Welcome To My Channel This channel is about health and fitness on a daily routine at home.
I'll show you to shorts video of basic exercise steps to improved your body. Were helpful to al",131000,19878259,163,2022-11-12T07:21:57.895171Z,121952.50920245399,93.09351847515572,4.5443
UCa5HthglR-O1bmF9ZASJk1A,chennai fitness,Fitness,IN,"channel mainly will provide updates about bodybuilding secrets, health and diet tips.",113000,22121917,593,2019-03-21T14:16:52Z,37305.08768971332,33.0133519377994,3.5268
UCyqR7WkL8i1b6xtSssDmW9w,The Fitness Marshall,Fitness,US,"Try my coffee https://zappycoffee.com
Join the Booty Army here: https://www.youtube.com/channel/UCyqR7WkL8i1b6xtSssDmW9w/join

BOOTIES AT ATTENTION!
Get ready to sweat yourself sexy with The Fitness M",7220000,3352028235,3999,2014-09-11T20:59:21Z,838216.6129032258,11.609648378161022,2.5345
UC1-YMpA6S_82iGDPe6snbhg,FITNESS CIRCLE,Fitness,US,"Do you want to lose fat or excess weight? Do you have a busy schedule but want to maintain your health and fitness! You have come to the right channel!
We upload 30 minutes fitness and workout videos ",332000,37689846,358,2023-02-21T15:34:55.362779Z,105278.89944134078,31.71051187992192,3.4877
UCvVEcGPPEkn3zSdc-rniGMg,Family Fitness,Fitness,IN,"For Promotions & Collaborations:  
Email: team@armaanmalik.in
",15700000,12910731347,2749,2017-01-18T04:40:33Z,4696519.224081485,29.91413518523239,3.4312
UCZmcNLlsfM4J-34wxnufk3Q,Fitness My Life,Fitness,US,"Welcome to ""Fitness My Life,"" your ultimate fitness and health destination. We provide a variety of workouts, from beginner to advanced, along with healthy recipes, wellness tips, fitness product revi",296000,87334018,338,2018-05-26T17:18:38Z,258384.66863905324,87.29211778346394,4.4807
UCjvd2JmIWGsEWPmLifUS4PA,Tharun Kumar,Fitness,IN,Hi I’m Tharun ,780000,86349125,194,2020-07-04T06:27:00.931283Z,445098.58247422683,57.06392083002908,4.0615
UCEVydC2Z1ZkLbRnJ-IMvVtQ,FITNESS with SHEETAL,Fitness,Unknown,"Hello Guys 
I am a Wellness Coach 
I can give best health results according to your health goals like 

#WEIGHTLOSS #WEIGHTGAIN and help you to achieve a healthy and happier life . 
#dietplan 

INSTAG",1070000,202466838,350,2022-05-16T15:59:53.157234Z,578476.68,54.06324112149533,4.0085
UCqoUtFTzx-fcFDdZLOGwL_w,Shilpa Shetty Kundra,Fitness,IN,"Welcome to the Official Youtube Channel of a Bollywood Actress & Yoga Enthusiast -  Shilpa Shetty Kundra!

The aim of this channel is to bring to you the Art of wellness program, spreading awareness a",3800000,510486097,907,2016-06-07T10:18:47Z,562829.2138919515,14.811295102419775,2.7607
UCUWEGllXjHmLfqANcSY2xFw,Fitness anurag,Fitness,IN,सभी का स्वागत है मेरे चैनल पर 🙌यहां पर आपको मिलेगा सही फिटनेस टिप्स ✅वीडियो और अच्छा डाइट प्लान,931000,447590729,1542,2023-01-14T09:45:35.176071Z,290266.3612191958,31.177912053619316,3.4713
UCu0l8LEELZa2XqAjvMNZamg,ZUMBA Fitness With Unique Beats,Fitness,IN,"Welcome My Zumba Fitness YouTube Channel

Hello Dosto Mera Naam Hain Vivek Patel Or Ap logo Ko is Channel Par Fitness & Dance
Video Dekhne Ko Milega To Channel Ko Subscribe Jarur Kare..

Thanku

Busin",1620000,286949921,2197,2021-08-08T04:37:18.176631Z,130609.88666363222,8.062338682940261,2.2041
UCoguzybAI8Fgdj4Aze5tE8w,Fit Media Channel,Fitness,GB,"Fit Media Channel is the best fitness channel on YouTube, with videos that inspire, instruct and empower your training - from home follow alongs, to massive gym workouts. All brought to you by the wor",2060000,304656076,1637,2008-08-09T12:57:10Z,186106.33842394623,9.0342882730071,2.306
UCCb2Q5tGuoJTvay7jI5vxaw,Biku Ki Fitness,Fitness,Unknown,"​🏆 Achievements:
​5th Place Holder | IBBF Junior National 2026

​🌟 What I do:
​Gym Openings & Promotions
​Supplement Store Promotions
​Brand Collaborations & Advertising

​📩 Promotions :> bikukiworkoo",418000,125868132,268,2024-09-13T18:01:50.840491Z,469657.2089552239,112.35818396057988,4.7306
UCh4mgDXERAfG4uOrRfpEjwA,YouTubeフィットネス,Fitness,JP,"このチャンネルは、健康寿命を伸ばしながら、脂肪を減らし、筋肉と体力を守るためのフィットネス情報を、科学的根拠に基づいて発信するチャンネルです。

扱うテーマは【Longevity (ロンジェビティ：健康長寿)】
内臓脂肪、筋力維持・向上、睡眠、血糖コントロール、心肺機能、加齢に伴う体力低下、食事全般、有酸素運動、筋トレの実践法サプリメントなどです。
流行や雰囲気ではなく、レビュー論文、メタ分析、ガ",62000,5542453,331,2019-07-02T00:11:04Z,16744.57099697885,27.007372575772344,3.3325
UCgB-kFGuhsOkf6mLp6LqYnA,Vidyut Jammwal,Fitness,IN,"The Official YouTube channel for Vidyut Jammwal.

Vidyut is a part of the Hindi Film Industry and is also the practitioner of the oldest form of Martial Arts, Kalaripayattu. Vidyut has also been featu",1650000,134852388,104,2020-05-19T10:34:04.249385Z,1296657.576923077,78.5853076923077,4.3768
UCE_btxAOsEVKw9LwNZPtDxg,Amit health & Fitness,Fitness,IN,"Most Welcome To My Channel

🙂 Amit Health & Fitness 🙂

I am fitness trainer and certified nutritionist from last 15 years

 My Channel Is Mainly Focused About

1. Health Tips
2. Fitness Tips
3. Weight",1670000,159248172,739,2016-06-05T08:29:43Z,215491.43707713127,12.903678866894088,2.6322
UCAVV247sueJyTPJlIFw0qKQ,Rajveer Fitness Series,Fitness,IN,"Hello Friends, 

This is Rajveer Shishodia, Welcomes you To My Channel Raj-Veer Fitness Series. I am a fitness enthusiast from India. On this channel, you can expect quick healthy recipes, workout tip",3100000,348226967,994,2018-08-01T10:15:20Z,350328.94064386317,11.300933569156877,2.5097
UC12K7FCbzFG5BOMJrHn-sog,Yatinder Singh,Fitness,IN,"Official You Tube Channel of Mr. Yatinder Singh who has accumulated wins in more than 20 Championships including National and International. Few of his achievements are:

- Mr. Asia 2018 🥇
- Mr. World",5290000,483282887,356,2016-10-27T08:38:58Z,1357536.1994382022,25.662310008283594,3.2833
