channel_id,channel_name,niche,country,description,subscribers,total_views,total_videos,published_at
UCV5FqnmlhZoDDBDkbHndbJg,Ikrar Fitness,Fitness,IN,"Hi This Is Ikrar Malik 
I m here to guide you how to train urself 🤜🏻
With some tips n tricks🤝
Subscribe this Channel",1250000,644964147,776,2021-12-24T12:28:37.746997Z
UCpk8SlbASeNIYLgh5bt8i5Q,Sahil Khan,Fitness,AE,Welcome to the Official Channel of Sahil Khan and Your FITNESS IC⭕N. I am the 1st Bollywood Actor to have my own channel on YouTube. Here I am going to connect with all of you  showing you a glimpse o,3110000,320709185,484,2017-04-28T09:36:25Z
UCv__5XBCC3lXbs9BRP3SGwQ,SimpleTips Anwesha,Fitness,IN,"Contact - simpletipsanweshaofficial@gmail.com

Hi, I am Anwesha. I create content on Beauty, Fitness, Health, Fashion and Lifestyle.
I started my Youtube journey in 2015 along with my Ph.D. and full-t",1070000,201859930,2062,2015-11-19T06:39:17Z
UCKPDbO0bRmuMUdEB9je5_wQ,Fitness Fighters,Fitness,IN,"Fitness Fighters is all about teaching you about Fitness, We make & share free videos of home Workouts with proper diet plan. 
No matter how your body is Fat, Skinny, Overweight,  Short stature etc.
M",2050000,131310418,557,2016-09-11T20:27:41Z
UCzi9LZEbsE8RIbgRR3Sy3KQ,Karate and Fitness Tutorial,Fitness,IN,"Welcome to Karate & Fitness Tutorials! 🥋💪 Our channel brings you simple, effective self-defense techniques from karate, tailored for everyday people.

📧 Contact us: karatefitnesstutorial@gmail.com
",1900000,505621093,397,2017-09-16T05:29:14Z
UCgUSttrJbKff0sYd7SpJHQA,The Fitness Channel,Fitness,IN,"Welcome to The Fitness Channel!
Look, I'm not a superhuman cyborg who lives in the gym 24/7. I'm just someone who loves lifting, learning, and figuring out how to get stronger without losing my mind (",89,39821,33,2026-03-16T14:52:19.487446Z
UCxjc8mUzILAiXGPf1lBhqdQ,Bodybuilding Workout Routine And Diet Planing,Fitness,IN,"Bodybuilding Workout Routine And Diet Planning 

For Any Buisness Enquiry:-
maazikram224@gmail.com",5510000,407451351,435,2015-05-16T02:52:47Z
UCg5LjzSV0GqSjXJXERkW1FA,Jeet Selal Aesthetics,Fitness,IN,"Jeet Selal is one the most influential fitness professionals among Indian communities across the globe, He is graduated in Sports science with a double degree in Sports management from United Kingdom.",4860000,406485456,816,2016-01-25T06:58:06Z
UCHUtSdrmS1RqLA_oBMmrfBQ,Home Workout ,Fitness,AE,"Hey! Friends. Welcome To My Channel This channel is about health and fitness on a daily routine at home.
I'll show you to shorts video of basic exercise steps to improved your body. Were helpful to al",131000,19878259,163,2022-11-12T07:21:57.895171Z
UCa5HthglR-O1bmF9ZASJk1A,chennai fitness,Fitness,IN,"channel mainly will provide updates about bodybuilding secrets, health and diet tips.",113000,22121917,593,2019-03-21T14:16:52Z
UCyqR7WkL8i1b6xtSssDmW9w,The Fitness Marshall,Fitness,US,"Try my coffee https://zappycoffee.com
Join the Booty Army here: https://www.youtube.com/channel/UCyqR7WkL8i1b6xtSssDmW9w/join

BOOTIES AT ATTENTION!
Get ready to sweat yourself sexy with The Fitness M",7220000,3352028235,3999,2014-09-11T20:59:21Z
UC1-YMpA6S_82iGDPe6snbhg,FITNESS CIRCLE,Fitness,US,"Do you want to lose fat or excess weight? Do you have a busy schedule but want to maintain your health and fitness! You have come to the right channel!
We upload 30 minutes fitness and workout videos ",332000,37689846,358,2023-02-21T15:34:55.362779Z
UCvVEcGPPEkn3zSdc-rniGMg,Family Fitness,Fitness,IN,"For Promotions & Collaborations:  
Email: team@armaanmalik.in
",15700000,12910731347,2749,2017-01-18T04:40:33Z
UCZmcNLlsfM4J-34wxnufk3Q,Fitness My Life,Fitness,US,"Welcome to ""Fitness My Life,"" your ultimate fitness and health destination. We provide a variety of workouts, from beginner to advanced, along with healthy recipes, wellness tips, fitness product revi",296000,87334018,338,2018-05-26T17:18:38Z
UCjvd2JmIWGsEWPmLifUS4PA,Tharun Kumar,Fitness,IN,Hi I’m Tharun ,780000,86349125,194,2020-07-04T06:27:00.931283Z
UCEVydC2Z1ZkLbRnJ-IMvVtQ,FITNESS with SHEETAL,Fitness,Unknown,"Hello Guys 
I am a Wellness Coach 
I can give best health results according to your health goals like 

#WEIGHTLOSS #WEIGHTGAIN and help you to achieve a healthy and happier life . 
#dietplan 

INSTAG",1070000,202466838,350,2022-05-16T15:59:53.157234Z
UCqoUtFTzx-fcFDdZLOGwL_w,Shilpa Shetty Kundra,Fitness,IN,"Welcome to the Official Youtube Channel of a Bollywood Actress & Yoga Enthusiast -  Shilpa Shetty Kundra!

The aim of this channel is to bring to you the Art of wellness program, spreading awareness a",3800000,510486097,907,2016-06-07T10:18:47Z
UCUWEGllXjHmLfqANcSY2xFw,Fitness anurag,Fitness,IN,सभी का स्वागत है मेरे चैनल पर 🙌यहां पर आपको मिलेगा सही फिटनेस टिप्स ✅वीडियो और अच्छा डाइट प्लान,931000,447590729,1542,2023-01-14T09:45:35.176071Z
UCu0l8LEELZa2XqAjvMNZamg,ZUMBA Fitness With Unique Beats,Fitness,IN,"Welcome My Zumba Fitness YouTube Channel

Hello Dosto Mera Naam Hain Vivek Patel Or Ap logo Ko is Channel Par Fitness & Dance
Video Dekhne Ko Milega To Channel Ko Subscribe Jarur Kare..

Thanku

Busin",1620000,286949921,2197,2021-08-08T04:37:18.176631Z
UCoguzybAI8Fgdj4Aze5tE8w,Fit Media Channel,Fitness,GB,"Fit Media Channel is the best fitness channel on YouTube, with videos that inspire, instruct and empower your training - from home follow alongs, to massive gym workouts. All brought to you by the wor",2060000,304656076,1637,2008-08-09T12:57:10Z
UCCb2Q5tGuoJTvay7jI5vxaw,Biku Ki Fitness,Fitness,Unknown,"​🏆 Achievements:
​5th Place Holder | IBBF Junior National 2026

​🌟 What I do:
​Gym Openings & Promotions
​Supplement Store Promotions
​Brand Collaborations & Advertising

​📩 Promotions :> bikukiworkoo",418000,125868132,268,2024-09-13T18:01:50.840491Z
UCh4mgDXERAfG4uOrRfpEjwA,YouTubeフィットネス,Fitness,JP,"このチャンネルは、健康寿命を伸ばしながら、脂肪を減らし、筋肉と体力を守るためのフィットネス情報を、科学的根拠に基づいて発信するチャンネルです。

扱うテーマは【Longevity (ロンジェビティ：健康長寿)】
内臓脂肪、筋力維持・向上、睡眠、血糖コントロール、心肺機能、加齢に伴う体力低下、食事全般、有酸素運動、筋トレの実践法サプリメントなどです。
流行や雰囲気ではなく、レビュー論文、メタ分析、ガ",62000,5542453,331,2019-07-02T00:11:04Z
UCgB-kFGuhsOkf6mLp6LqYnA,Vidyut Jammwal,Fitness,IN,"The Official YouTube channel for Vidyut Jammwal.

Vidyut is a part of the Hindi Film Industry and is also the practitioner of the oldest form of Martial Arts, Kalaripayattu. Vidyut has also been featu",1650000,134852388,104,2020-05-19T10:34:04.249385Z
UCE_btxAOsEVKw9LwNZPtDxg,Amit health & Fitness,Fitness,IN,"Most Welcome To My Channel

🙂 Amit Health & Fitness 🙂

I am fitness trainer and certified nutritionist from last 15 years

 My Channel Is Mainly Focused About

1. Health Tips
2. Fitness Tips
3. Weight",1670000,159248172,739,2016-06-05T08:29:43Z
UCAVV247sueJyTPJlIFw0qKQ,Rajveer Fitness Series,Fitness,IN,"Hello Friends, 

This is Rajveer Shishodia, Welcomes you To My Channel Raj-Veer Fitness Series. I am a fitness enthusiast from India. On this channel, you can expect quick healthy recipes, workout tip",3100000,348226967,994,2018-08-01T10:15:20Z
UC12K7FCbzFG5BOMJrHn-sog,Yatinder Singh,Fitness,IN,"Official You Tube Channel of Mr. Yatinder Singh who has accumulated wins in more than 20 Championships including National and International. Few of his achievements are:

- Mr. Asia 2018 🥇
- Mr. World",5290000,483282887,356,2016-10-27T08:38:58Z
UCKB4ERIKw52xw2BEnn-xz3Q,fitness journey,Fitness,IN,Welcome  ❤️  'A little progress each day adds up to big difference' n our channel fitness journey completely stand by this quotation . I started this youtube channel when I was on my fitness journey n,565000,110816878,508,2020-05-06T13:05:35.609233Z
UCn8Fiasqd-6G3A6AS322mZA,FitMuscle TV,Fitness,IN,"Muscle TV is your one stop for all fitness related queries.

Run by Gaurav Taneja.
Gaurav holds a Bachelor's degree from IIT Kharagpur (2008), A certified Nutritionist, a professional Bodybuilder and ",2080000,249273033,422,2016-11-30T09:39:41Z
UCILyq7gn6_ISHshQ4BJyIWg,YOURFITNESSTORIES,Fitness,IN,FITNESS SHORTS ❤,2180000,1445777539,1613,2014-02-09T05:02:30Z
UCPyPGoySB1bXEHABvenKBbg,shivam fitness,Fitness,IN,"हर हर महादेव 🙏 (be greatful for a good health)
Mail - sm3920240@gmail.com

Thank you so much 🙏
I am a health expert from (IGNOU) and a trainer.
Providing health and nutrition related videos
On my chan",829000,533690058,1424,2014-07-23T20:11:24Z
UCUOdTQuFq4Z-36QSlWHg9Ig,The Nitesh Fitness Empire,Fitness,Unknown,"No paid collab No brand Promotion
Follow me for Ghar ka khana body bnao
Insta id Niteshsoniy

https://www.instagram.com/niteshsoniy?igsh=MXI2aHFtZnFzY3drYg==",2490000,1162015881,1881,2022-06-01T16:44:39.018346Z
UCX3_LZqWIEQIK22w2Wkkqcw,Eshwar Bolegar ,Fitness,IN,"Hi, I’m Eshwar Bolegar — a fitness content creator, coach, and athlete.
On this channel, I share practical fitness education to help you build a better body and stronger mindset. You’ll find content r",169000,34582299,533,2018-07-09T18:36:03Z
UCfOHfoIZlaq4vOiW4uJGImw,Rohit Soniya Vlogs,Fitness,IN,Making Memories...,860000,513641636,551,2020-02-04T09:50:21.736531Z
UCZJcDejPgShIpNExoaN_EIg,Kiran Sagar Fitness,Fitness,IN,"Kiran is the founder of the Shred Fix Program, a Certified Nutritionist, Health Coach, and Strength & Conditioning Coach from ISSA (USA). He holds a Diploma in Personal Training and Fitness from Activ",332000,23129120,444,2018-10-28T11:39:40Z
